,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
62,-0.9645044550878141,-0.9547558469207147,-0.9515463840194472,-0.9294646082790392,-0.8529983425951662,-0.7977297011545068,-0.74743177650531,-0.6633279187549606,-0.633763282915666,-0.615090742350879,-0.5976529495366865,-0.5944178397083519,-0.4405181295968936,-0.5838599924948216,-0.6258730696625097,-0.7380567197141026
63,-0.8958164164798282,-0.9034096634733153,-0.9036130122131922,-0.9086415812566188,-0.8617045031645283,-0.814877176909501,-0.8053410444698351,-0.7592683622333358,-0.6762592707572589,-0.6652791436214045,-0.6503871952243675,-0.6031244960689848,-0.6031826753595253,-0.4242322083217648,-0.28406847639192145,-0.2647468606684345
64,-0.9488118937665051,-0.9356062804527369,-0.9210130252912668,-0.9047092112175801,-0.8438918936519726,-0.8030093086334186,-0.7831584177828476,-0.7640115683354564,-0.6933861589929886,-0.6891583898993048,-0.6781890520504597,-0.6208616641614497,-0.48959101452792064,-0.47140906081432926,-0.3013896752083624,-0.1988042233503154
65,-0.9620068413338579,-0.9475220149980292,-0.9502576118817697,-0.9505005753536181,-0.9150603112871735,-0.8918878095053691,-0.8679898677742398,-0.8580220230753419,-0.7717089590984735,-0.7251190786855968,-0.7363106032659082,-0.6846908160572984,-0.6013530333013775,-0.6694817196339344,-0.7321699826689185,-0.7537737112554526
66,-0.9494380841725281,-0.9358663144157991,-0.9057817218583644,-0.8662718934844142,-0.7838480369939247,-0.7333580390431227,-0.7098642341510453,-0.6709258171090506,-0.6383948176507772,-0.6350453897818519,-0.5480439352969733,-0.49728397652916334,-0.4546500320354309,-0.36944745347924185,-0.2702285943638818,-0.3064175675064351
67,-0.9543687338073155,-0.9342680514908834,-0.9365063243943369,-0.9413034825649954,-0.9025649588211548,-0.8670178286972184,-0.8407683541599236,-0.8110042036212028,-0.7385850366275188,-0.7017651629682831,-0.6950128203656962,-0.6730197849473536,-0.5800233341990548,-0.563713994242528,-0.461242893371618,-0.3483172812320952
68,-0.9467736737323404,-0.919545683555909,-0.9057357996421382,-0.9031799435159484,-0.8432321683170082,-0.7969913576530406,-0.7937679697202168,-0.7113194705161665,-0.6561938720328996,-0.6535882716394074,-0.5588970704928469,-0.5574722337229004,-0.4262355893726334,-0.4206485548774519,-0.3474483551088874,-0.19318058283047546
69,-0.9619596366548986,-0.9356954395162564,-0.9156828859491586,-0.9045745174097227,-0.8506604974652529,-0.8222451481870853,-0.8095313357778486,-0.7915296637879474,-0.741027089053426,-0.7127465650694634,-0.7178520398324659,-0.6897734541486382,-0.685091019483675,-0.5719759693607421,-0.5623249754464547,-0.583558520419482
70,-0.9841189418651013,-0.9639177592882051,-0.9465456088917632,-0.9107952488365155,-0.8275750566799891,-0.7843286940564813,-0.7506074640389028,-0.6872245838405477,-0.6568965829872884,-0.6322362632527931,-0.570501002387741,-0.5525596944231614,-0.41851827026681165,-0.544688515804553,-0.5332222119872503,-0.5743781933033019
71,-0.9488328850745607,-0.9234941851060682,-0.8854511672675512,-0.8514779133807759,-0.7560812354810948,-0.7132712861128166,-0.7183268604716478,-0.6871504785962201,-0.6352316461551779,-0.6321162671852621,-0.5238526179596941,-0.4963901118658015,-0.43749307961793027,-0.3971650476800583,-0.3133252840590122,-0.3386971234738213
